CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CLV_Score,EngagementScore,Balance_Salary_Ratio,Geography_France,Geography_Germany,Geography_Spain,Churn_Probability,Risk_Tier,Actual_Churn
585,0,36,7,0.0,2,1,0,94283.09,29684.927,0,0.0,True,False,False,0.101,Low Risk,0
525,0,33,4,131023.76,2,0,0,55072.93,82833.75899999999,0,2.38,False,True,False,0.317,Medium Risk,0
557,1,40,4,0.0,2,0,1,105433.53,32430.059,2,0.0,False,False,True,0.1,Low Risk,0
639,0,34,5,139393.19,2,0,0,33950.08,80881.619,0,4.11,False,False,True,0.216,Low Risk,0
640,1,34,3,77826.8,1,1,1,168544.85,90076.855,1,0.46,False,False,True,0.122,Low Risk,0
559,0,34,0,0.0,1,1,0,182988.94,54896.682,0,0.0,False,False,True,0.526,High Risk,0
595,0,30,9,130682.11,2,1,1,57862.88,84499.919,2,2.26,False,True,False,0.086,Low Risk,0
706,1,29,6,185544.36,1,1,0,171037.63,145283.46899999998,0,1.08,False,True,False,0.299,Low Risk,0
505,0,49,7,80001.23,1,0,0,135180.11,81954.64799999999,0,0.59,True,False,False,0.828,Critical Risk,0
714,1,40,0,0.0,2,1,0,62762.12,18828.636,0,0.0,True,False,False,0.125,Low Risk,0
699,1,54,3,111009.32,1,1,1,155905.79,102876.397,1,0.71,False,True,False,0.709,Critical Risk,1
625,1,38,7,0.0,1,1,0,164804.02,50841.206,0,0.0,True,False,False,0.516,High Risk,0
721,0,35,10,0.0,2,1,0,71594.26,23478.278,0,0.0,True,False,False,0.07,Low Risk,0
727,1,31,10,96997.09,2,0,0,76614.04,73482.757,0,1.27,False,False,True,0.14,Low Risk,0
670,0,38,10,89416.99,1,0,0,144275.39,89991.11200000001,0,0.62,True,False,False,0.315,Medium Risk,0
702,0,30,2,0.0,2,1,1,145537.32,44061.196,2,0.0,False,False,True,0.042,Low Risk,0
633,1,42,1,0.0,2,1,0,56865.62,17259.686,0,0.0,True,False,False,0.173,Low Risk,0
491,1,61,8,0.0,2,0,1,139861.53,43558.459,2,0.0,False,False,True,0.108,Low Risk,0
617,1,58,3,119024.75,2,1,0,35199.24,70672.147,0,3.38,False,True,False,0.776,Critical Risk,1
572,1,35,1,139979.07,1,1,0,185662.84,125888.387,0,0.75,False,True,False,0.473,Medium Risk,0
551,0,52,1,0.0,1,0,0,63584.55,19275.365,0,0.0,True,False,False,0.914,Critical Risk,1
471,0,26,8,0.0,2,1,1,179655.87,55496.761,2,0.0,False,False,True,0.03,Low Risk,0
466,0,26,3,156815.71,1,1,1,137476.09,120250.682,1,1.14,True,False,False,0.083,Low Risk,0
588,0,44,8,154409.74,1,1,0,49324.03,93602.079,0,3.13,True,False,False,0.562,High Risk,1
778,1,34,7,109564.1,1,0,1,113046.81,90096.093,1,0.97,True,False,False,0.09,Low Risk,0
729,0,34,3,152303.8,1,1,0,12128.69,80390.507,0,12.56,True,False,False,0.311,Medium Risk,0
776,1,43,4,0.0,2,0,1,162137.5,49441.25,2,0.0,True,False,False,0.12,Low Risk,0
664,0,35,1,115024.5,1,0,1,169665.79,108611.987,1,0.68,False,False,True,0.149,Low Risk,0
523,0,36,8,158351.02,2,1,0,155304.53,127366.869,0,1.02,True,False,False,0.387,Medium Risk,0
733,0,39,5,91538.51,1,1,1,93783.0,74904.155,1,0.98,False,True,False,0.399,Medium Risk,0
693,1,30,6,127992.25,1,1,1,50457.2,80333.285,1,2.54,True,False,False,0.08,Low Risk,0
614,0,46,4,0.0,1,1,0,74379.57,23113.871000000003,0,0.0,True,False,False,0.879,Critical Risk,1
775,0,45,8,0.0,1,1,0,130376.68,40713.00399999999,0,0.0,True,False,False,0.81,Critical Risk,0
633,0,43,5,0.0,2,1,1,48249.88,15474.963999999998,2,0.0,True,False,False,0.063,Low Risk,0
676,1,43,2,0.0,1,1,1,55119.53,16935.859,1,0.0,True,False,False,0.481,Medium Risk,0
768,1,26,5,51116.26,1,1,1,70454.79,47694.567,1,0.73,True,False,False,0.1,Low Risk,1
727,1,29,1,146652.01,1,1,1,173486.39,125571.922,1,0.85,True,False,False,0.09,Low Risk,0
629,1,40,6,0.0,2,1,1,139356.3,43006.88999999999,2,0.0,True,False,False,0.079,Low Risk,0
702,0,43,6,116121.67,1,1,0,61602.42,77741.561,0,1.89,False,False,True,0.543,High Risk,0
796,1,52,9,167194.36,1,1,1,62808.93,104239.859,1,2.66,False,True,False,0.378,Medium Risk,1
530,1,41,4,0.0,2,0,1,147606.71,45082.013,2,0.0,False,False,True,0.125,Low Risk,0
510,1,32,1,0.0,2,0,1,28515.17,8754.551,2,0.0,True,False,False,0.041,Low Risk,0
709,0,44,9,128601.98,1,1,0,117031.2,101210.35,0,1.1,True,False,False,0.529,High Risk,0
642,1,40,6,129502.49,2,0,1,86099.23,91781.014,2,1.5,False,True,False,0.275,Low Risk,1
655,1,30,1,83173.98,2,1,1,184259.6,97064.87,2,0.45,False,True,False,0.065,Low Risk,0
464,1,33,10,147493.7,2,1,0,100447.53,105881.109,0,1.47,True,False,False,0.159,Low Risk,0
617,0,61,3,113858.95,1,1,1,38129.22,68968.241,1,2.99,False,False,True,0.201,Low Risk,0
655,1,46,7,137145.12,1,1,0,115146.4,104516.48,0,1.19,False,True,False,0.908,Critical Risk,1
709,0,26,6,156551.63,1,0,1,4410.77,80799.046,1,35.49,True,False,False,0.089,Low Risk,0
642,0,48,9,118317.27,4,0,0,78702.98,84569.529,0,1.5,True,False,False,0.711,Critical Risk,1
741,1,42,9,121056.63,2,1,0,39122.58,74065.089,0,3.09,False,False,True,0.358,Medium Risk,0
415,0,53,5,167259.44,1,1,1,22357.25,91336.895,1,7.48,False,False,True,0.303,Medium Risk,0
684,0,30,2,0.0,2,1,0,83473.82,25442.146,0,0.0,True,False,False,0.088,Low Risk,0
706,0,29,2,0.0,2,1,1,18255.51,5876.652999999999,2,0.0,False,False,True,0.043,Low Risk,0
634,1,45,2,0.0,1,1,1,143458.31,43437.493,1,0.0,True,False,False,0.511,High Risk,0
813,0,29,6,0.0,1,1,0,33953.87,11386.161,0,0.0,True,False,False,0.403,Medium Risk,0
775,0,70,6,119684.88,2,1,1,74532.02,83402.046,2,1.61,False,True,False,0.255,Low Risk,0
445,0,31,7,145056.59,1,1,1,175893.53,126696.354,1,0.82,True,False,False,0.109,Low Risk,0
701,0,37,8,107798.85,1,1,0,16966.73,60589.444,0,6.35,True,False,False,0.308,Medium Risk,0
752,0,33,4,0.0,2,1,1,39570.78,12671.234,2,0.0,True,False,False,0.02,Low Risk,0
723,0,21,4,0.0,2,0,0,24847.02,8254.106,0,0.0,True,False,False,0.069,Low Risk,0
806,0,34,6,0.0,2,0,0,100809.99,31442.997,0,0.0,True,False,False,0.093,Low Risk,0
625,0,49,6,173434.9,1,1,0,165580.93,137591.729,0,1.05,True,False,False,0.77,Critical Risk,1
712,1,44,2,0.0,2,0,0,45738.94,14121.682,0,0.0,False,False,True,0.336,Medium Risk,0
571,1,22,3,108117.1,1,0,1,53328.7,70657.16,1,2.03,False,False,True,0.077,Low Risk,0
639,1,37,4,116121.84,2,0,1,181850.74,113416.142,2,0.64,True,False,False,0.1,Low Risk,0
627,1,44,5,0.0,2,1,0,82969.61,25890.883,0,0.0,True,False,False,0.351,Medium Risk,1
630,0,32,4,82034.0,1,0,0,146326.45,85714.935,0,0.56,False,False,True,0.384,Medium Risk,0
578,0,23,8,0.0,2,1,0,112124.98,35237.494,0,0.0,False,False,True,0.064,Low Risk,0
679,0,39,6,0.0,2,1,0,12266.06,4879.817999999999,0,0.0,False,False,True,0.088,Low Risk,0
767,1,35,6,115576.44,1,0,1,27922.45,67364.955,1,4.14,True,False,False,0.107,Low Risk,0
762,1,35,3,119349.69,3,1,1,47114.18,74409.099,3,2.53,False,False,True,0.759,Critical Risk,1
734,0,39,6,0.0,1,1,1,95135.27,29740.581,1,0.0,False,False,True,0.196,Low Risk,0
