CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,CreditBand,TenureGroup,BalanceSegment,CLV_Score,CLV_Segment,EngagementScore,Balance_Salary_Ratio
619,France,Female,42,2,0.0,1,1,1,101348.88,1,30-45,Medium,New,Zero,30804.664,Low,1,0.0
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,30-45,Medium,New,Medium,75866.704,High,1,0.74
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,30-45,Low,Long,High,115609.87099999998,Premium,0,1.4
699,France,Female,39,1,0.0,2,0,0,93826.63,0,30-45,Medium,New,Zero,28347.989,Low,0,0.0
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,30-45,High,New,High,86880.64,High,1,1.59
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,30-45,Medium,Long,Medium,103404.90299999999,Premium,0,0.76
822,France,Male,50,7,0.0,2,1,1,10062.8,0,46-60,High,Long,Zero,4418.84,Low,2,0.0
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,<30,Low,Mid,Medium,94127.43400000001,High,0,0.96
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,30-45,Low,Mid,High,94307.685,High,2,1.9
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,<30,Medium,New,High,89219.659,High,1,1.88
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,30-45,Low,Mid,Medium,76262.696,High,0,1.27
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,<30,Low,Mid,Zero,23517.002999999997,Low,0,0.0
476,France,Female,34,10,0.0,2,1,0,26260.98,0,30-45,Low,Long,Zero,9878.294,Low,0,0.0
549,France,Female,25,5,0.0,2,0,0,190857.79,0,<30,Low,Mid,Zero,58257.337,Medium,0,0.0
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,30-45,Medium,Long,Zero,21185.495,Low,2,0.0
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,30-45,Medium,Mid,High,91462.883,High,2,2.23
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,46-60,Medium,New,High,68030.74100000001,Medium,0,26.01
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,<30,Low,Long,Zero,6121.923,Low,2,0.0
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,30-45,Medium,Mid,Zero,48805.443,Medium,0,0.0
726,France,Female,24,6,0.0,2,1,1,54724.03,0,<30,High,Mid,Zero,17617.209,Low,2,0.0
732,France,Male,41,8,0.0,2,1,1,170886.17,0,30-45,High,Long,Zero,52865.851,Medium,2,0.0
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,30-45,Medium,Long,Zero,43166.638,Medium,0,0.0
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,30-45,Low,Mid,Zero,36474.059,Low,0,0.0
