CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,CreditBand,TenureGroup,BalanceSegment,CLV_Score,CLV_Segment,EngagementScore,Balance_Salary_Ratio,Cluster
619,France,Female,42,2,0.0,1,1,1,101348.88,1,30-45,Medium,New,Zero,30804.664,Low,1,0.0,1
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,30-45,Medium,New,Medium,75866.704,High,1,0.74,0
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,30-45,Low,Long,High,115609.87099999998,Premium,0,1.4,3
699,France,Female,39,1,0.0,2,0,0,93826.63,0,30-45,Medium,New,Zero,28347.989,Low,0,0.0,2
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,30-45,High,New,High,86880.64,High,1,1.59,0
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,30-45,Medium,Long,Medium,103404.903,Premium,0,0.76,3
822,France,Male,50,7,0.0,2,1,1,10062.8,0,46-60,High,Long,Zero,4418.84,Low,2,0.0,1
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,<30,Low,Mid,Medium,94127.434,High,0,0.96,2
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,30-45,Low,Mid,High,94307.685,High,2,1.9,0
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,<30,Medium,New,High,89219.659,High,1,1.88,0
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,30-45,Low,Mid,Medium,76262.696,High,0,1.27,3
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,<30,Low,Mid,Zero,23517.003,Low,0,0.0,2
476,France,Female,34,10,0.0,2,1,0,26260.98,0,30-45,Low,Long,Zero,9878.294,Low,0,0.0,2
549,France,Female,25,5,0.0,2,0,0,190857.79,0,<30,Low,Mid,Zero,58257.337,Medium,0,0.0,2
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,30-45,Medium,Long,Zero,21185.495,Low,2,0.0,1
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,30-45,Medium,Mid,High,91462.883,High,2,2.23,0
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,46-60,Medium,New,High,68030.74100000001,Medium,0,26.01,3
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,<30,Low,Long,Zero,6121.923,Low,2,0.0,1
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,30-45,Medium,Mid,Zero,48805.443,Medium,0,0.0,2
726,France,Female,24,6,0.0,2,1,1,54724.03,0,<30,High,Mid,Zero,17617.209,Low,2,0.0,1
732,France,Male,41,8,0.0,2,1,1,170886.17,0,30-45,High,Long,Zero,52865.851,Medium,2,0.0,1
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,30-45,Medium,Long,Zero,43166.638,Medium,0,0.0,2
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,30-45,Low,Mid,Zero,36474.059,Low,0,0.0,2
669,France,Male,46,3,0.0,2,0,1,8487.75,0,46-60,Medium,Mid,Zero,3146.325,Low,2,0.0,1
846,France,Female,38,5,0.0,1,1,1,187616.16,0,30-45,High,Mid,Zero,57284.848,Medium,1,0.0,1
577,France,Male,25,3,0.0,2,0,1,124508.29,0,<30,Low,Mid,Zero,37952.487,Low,2,0.0,1
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,30-45,High,New,High,119820.405,Premium,1,0.8,0
571,France,Male,44,9,0.0,2,0,0,38433.35,0,30-45,Low,Long,Zero,13330.005,Low,0,0.0,2
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,30-45,Low,Mid,High,101330.944,Premium,1,1.41,0
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,<30,Low,New,Medium,45893.548,Medium,2,1.12,1
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,30-45,Medium,Mid,Zero,42740.814,Medium,0,0.0,2
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,30-45,Low,Long,Medium,91075.423,High,1,0.54,0
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,30-45,Low,Long,Medium,81425.913,High,0,1.34,3
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,30-45,Low,Mid,Zero,11523.165,Low,2,0.0,1
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,<30,High,Long,Zero,44409.921,Medium,2,0.0,1
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,30-45,Low,New,High,75478.917,High,0,4.83,3
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,30-45,Low,Mid,High,107450.146,Premium,1,1.27,0
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,30-45,High,Long,Medium,69210.33499999999,Medium,1,0.78,0
850,France,Male,36,7,0.0,1,1,1,40812.9,0,30-45,High,Long,Zero,13643.87,Low,1,0.0,1
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,30-45,Medium,Mid,Medium,89796.95199999999,High,2,0.4,0
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,30-45,Low,Mid,Zero,21846.266,Low,0,0.0,2
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,46-60,Low,Long,Medium,117250.455,Premium,0,0.68,3
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,60+,Low,New,Medium,87355.82400000001,High,1,1.25,0
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,46-60,High,New,High,124407.008,Premium,0,0.68,3
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,60+,Medium,Mid,High,126467.072,Premium,1,0.98,0
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,30-45,High,Mid,Medium,93465.803,High,2,0.86,0
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,<30,High,Long,Medium,93735.298,High,1,0.94,0
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,30-45,Medium,Long,High,106008.74,Premium,1,1.17,0
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,30-45,Low,New,Medium,79359.129,High,1,1.14,0
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,30-45,High,New,Medium,110514.346,Premium,0,0.53,3
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,30-45,Medium,Long,Medium,119599.433,Premium,0,0.59,3
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,30-45,Medium,Mid,High,99952.856,Premium,0,1.69,3
788,France,Female,33,5,0.0,2,0,0,116978.19,0,30-45,High,Mid,Zero,36093.457,Low,0,0.0,2
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,30-45,Medium,Long,High,113593.267,Premium,0,0.77,3
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,30-45,Medium,New,Medium,61452.288,Medium,0,2.46,3
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,30-45,Medium,New,High,96829.107,High,1,1.1,0
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,30-45,Medium,Mid,High,91064.471,High,0,1.47,3
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,<30,High,New,Medium,51628.225,Medium,0,1.66,3
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,60+,Low,Mid,Zero,1292.933,Low,0,0.0,2
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,46-60,Medium,Mid,Low,35175.543999999994,Low,1,0.87,1
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,30-45,High,Mid,High,94781.371,High,0,1.62,3
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,<30,Medium,Long,High,115912.886,Premium,0,1.2,3
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,30-45,Low,New,Medium,81881.784,High,0,0.31,3
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,46-60,Medium,Long,Medium,70773.088,Medium,1,0.79,0
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,<30,Medium,Mid,Medium,83235.386,High,1,1.18,0
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,30-45,High,Mid,High,94443.238,High,2,6.12,0
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,30-45,Medium,New,Medium,84145.973,High,0,0.92,3
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,30-45,High,Long,Medium,122591.989,Premium,2,0.63,0
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,30-45,Medium,Mid,High,110459.82,Premium,2,1.33,0
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,<30,Medium,Long,Medium,56247.53,Medium,0,5.4,3
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,46-60,High,New,High,75784.878,High,0,4.71,2
813,France,Male,29,6,0.0,1,1,0,33953.87,0,<30,High,Mid,Zero,11386.161,Low,0,0.0,2
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,30-45,Medium,New,High,95064.655,High,1,3.7,0
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,<30,Medium,Mid,High,97418.463,High,2,2.7,0
519,France,Male,36,9,0.0,2,0,1,145562.4,0,30-45,Low,Long,Zero,45468.72,Medium,2,0.0,1
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,<30,High,New,High,96275.495,High,0,7.98,3
664,France,Male,55,8,0.0,2,1,1,139161.64,0,46-60,Medium,Long,Zero,43348.492000000006,Medium,2,0.0,1
678,France,Female,32,9,0.0,1,1,1,148210.64,0,30-45,Medium,Long,Zero,46263.192,Medium,1,0.0,1
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,30-45,High,Mid,Medium,97898.499,Premium,1,0.4,0
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,30-45,Low,Long,Medium,92585.313,High,0,1.24,3
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,30-45,Medium,New,Medium,99946.868,Premium,0,0.56,3
777,France,Female,32,2,0.0,1,1,0,136458.19,1,30-45,High,New,Zero,41337.457,Medium,0,0.0,2
543,France,Female,36,3,0.0,2,0,0,26019.59,0,30-45,Low,Mid,Zero,8405.877,Low,0,0.0,2
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,30-45,Low,Mid,Medium,93724.397,High,1,0.57,0
493,France,Female,46,4,0.0,2,1,0,1907.66,0,46-60,Low,Mid,Zero,1372.298,Low,0,0.0,2
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,60+,Medium,Long,Zero,36402.725,Low,2,0.0,1
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,<30,High,Mid,Medium,100033.915,Premium,0,0.95,3
